Date,Open,High,Low,Close,Volume
15-Jul-16,0.66,0.67,0.65,0.67,17301
14-Jul-16,0.66,0.67,0.66,0.67,7591
13-Jul-16,0.63,0.67,0.63,0.67,37307
12-Jul-16,0.64,0.66,0.61,0.65,17636
11-Jul-16,0.61,0.67,0.61,0.66,63221
8-Jul-16,0.60,0.73,0.59,0.64,709920
7-Jul-16,0.60,0.60,0.58,0.60,140733
6-Jul-16,0.61,0.61,0.58,0.60,32152
5-Jul-16,0.61,0.61,0.59,0.61,63178
1-Jul-16,0.60,0.61,0.59,0.59,47591
30-Jun-16,0.57,0.61,0.57,0.58,36062
29-Jun-16,0.56,0.61,0.56,0.59,58523
28-Jun-16,0.62,0.62,0.57,0.59,25338
27-Jun-16,0.55,0.61,0.55,0.58,54941
24-Jun-16,0.58,0.62,0.58,0.60,103893
23-Jun-16,0.59,0.63,0.59,0.60,138709
22-Jun-16,0.65,0.65,0.59,0.60,117968
21-Jun-16,0.64,0.65,0.63,0.63,72239
20-Jun-16,0.65,0.67,0.64,0.65,79899
17-Jun-16,0.66,0.66,0.63,0.64,35617
16-Jun-16,0.64,0.65,0.64,0.65,13100
15-Jun-16,0.65,0.65,0.63,0.64,35998
14-Jun-16,0.68,0.68,0.64,0.64,36993
13-Jun-16,0.68,0.69,0.65,0.65,57763
10-Jun-16,0.69,0.70,0.67,0.68,27120
9-Jun-16,0.69,0.69,0.67,0.67,7975
8-Jun-16,0.68,0.69,0.67,0.67,102306
7-Jun-16,0.68,0.69,0.68,0.69,15183
6-Jun-16,0.70,0.70,0.68,0.68,51531
3-Jun-16,0.69,0.70,0.68,0.68,18708
2-Jun-16,0.69,0.70,0.68,0.68,13967
1-Jun-16,0.70,0.70,0.68,0.69,27235
31-May-16,0.69,0.70,0.67,0.67,63132
27-May-16,0.69,0.70,0.69,0.69,17009
26-May-16,0.70,0.73,0.69,0.70,90646
25-May-16,0.73,0.73,0.71,0.71,72610
24-May-16,0.72,0.73,0.70,0.73,8982
23-May-16,0.75,0.75,0.70,0.74,76251
20-May-16,0.74,0.75,0.73,0.74,6507
19-May-16,0.75,0.75,0.73,0.75,17346
18-May-16,0.75,0.77,0.74,0.74,20563
17-May-16,0.77,0.77,0.73,0.73,36273
16-May-16,0.79,0.79,0.74,0.77,13008
13-May-16,0.78,0.79,0.74,0.78,65265
12-May-16,0.79,0.80,0.76,0.77,9907
11-May-16,0.80,0.80,0.76,0.76,51205
10-May-16,0.80,0.80,0.76,0.80,19748
9-May-16,0.80,0.80,0.78,0.80,20958
6-May-16,0.80,0.80,0.77,0.80,29700
5-May-16,0.78,0.80,0.78,0.78,50327
4-May-16,0.80,0.80,0.78,0.78,24444
3-May-16,0.78,0.80,0.78,0.79,14533
2-May-16,0.80,0.80,0.79,0.79,17437
29-Apr-16,0.80,0.80,0.79,0.80,7114
28-Apr-16,0.79,0.80,0.79,0.79,35482
27-Apr-16,0.80,0.83,0.79,0.80,29219
26-Apr-16,0.81,0.84,0.79,0.80,80803
25-Apr-16,0.82,0.84,0.80,0.81,48173
22-Apr-16,0.81,0.84,0.79,0.79,35767
21-Apr-16,0.82,0.82,0.80,0.80,100271
20-Apr-16,0.80,0.84,0.80,0.83,56414
19-Apr-16,0.84,0.84,0.81,0.82,34899
18-Apr-16,0.84,0.84,0.80,0.80,48256
15-Apr-16,0.82,0.83,0.80,0.80,50059
14-Apr-16,0.84,0.86,0.82,0.85,49459
13-Apr-16,0.86,0.86,0.82,0.84,27351
12-Apr-16,0.84,0.85,0.84,0.85,57147
11-Apr-16,0.86,0.86,0.84,0.85,6643
8-Apr-16,0.85,0.86,0.85,0.86,2130
7-Apr-16,0.85,0.86,0.85,0.86,29434
6-Apr-16,0.85,0.86,0.85,0.85,65216
5-Apr-16,0.86,0.86,0.85,0.85,17151
4-Apr-16,0.87,0.87,0.86,0.86,38153
1-Apr-16,0.84,0.87,0.84,0.85,3946
31-Mar-16,0.88,0.88,0.83,0.84,70391
30-Mar-16,0.88,0.88,0.85,0.87,248822
29-Mar-16,0.90,0.90,0.86,0.88,7029
28-Mar-16,0.90,0.90,0.87,0.89,10459
24-Mar-16,0.85,0.90,0.85,0.90,7493
23-Mar-16,0.87,0.89,0.86,0.86,25900
22-Mar-16,0.88,0.88,0.86,0.86,14461
21-Mar-16,0.89,0.90,0.87,0.87,8888
18-Mar-16,0.87,0.90,0.87,0.87,8837
17-Mar-16,0.89,0.89,0.88,0.88,1593
16-Mar-16,0.90,0.90,0.86,0.90,37545
15-Mar-16,0.90,0.90,0.87,0.90,10655
14-Mar-16,0.85,0.89,0.85,0.89,8500
11-Mar-16,0.90,0.90,0.90,0.90,444
10-Mar-16,0.90,0.90,0.87,0.87,6378
9-Mar-16,0.90,0.90,0.89,0.89,3960
8-Mar-16,0.87,0.88,0.86,0.87,4145
7-Mar-16,0.92,0.92,0.86,0.87,14546
4-Mar-16,0.90,0.90,0.88,0.88,20877
3-Mar-16,0.90,0.90,0.88,0.88,14641
2-Mar-16,0.88,0.91,0.88,0.90,2957
1-Mar-16,0.93,0.93,0.85,0.89,134937
29-Feb-16,0.92,0.93,0.92,0.92,5654
26-Feb-16,0.93,0.93,0.91,0.91,542
25-Feb-16,0.92,0.93,0.92,0.92,12033
